path,name,size_kb,n_features,geom_type,crs,minx,miny,maxx,maxy,year_start,year_end,category,error,primary_year
DSAS_cpHat/RunAv&Gaussians/standard_baseline.shp,standard_baseline,0.7,1,LineString,EPSG:32119,883024.3501000032,148857.14820000157,931470.6996999979,210304.38540000096,,,baseline,,
DSAS_cpHat/RunAv&Gaussians/trans_allyears_standBL.shp,trans_allyears_standBL,78.5,912,LineString,EPSG:32119,880998.9554538801,148857.14819908142,931469.7998294905,210248.57577705383,,,transect,,
DSAS_cpHat/RunAv&Gaussians/trans_standBL1852_1974.shp,trans_standBL1852_1974,65.2,757,LineString,EPSG:32119,883050.6966610029,151692.70070838928,931469.7998294905,210248.57577705383,1852.0,1974.0,transect,,1974.0
DSAS_cpHat/RunAv&Gaussians/trans_standBL1974_2004.shp,trans_standBL1974_2004,65.0,755,LineString,EPSG:32119,884221.2420368195,152280.30943870917,931469.7998294905,210248.57577705383,1974.0,2004.0,transect,,2004.0
DSAS_cpHat/RunAv&Gaussians/trans_tailBL1852_1974.shp,trans_tailBL1852_1974,65.0,755,LineString,EPSG:32119,883132.3678531721,151641.54129600897,931078.6262111738,210313.54251670837,1852.0,1974.0,transect,,1974.0
DSAS_cpHat/Shoreline_Copies/NOAA_1852.shp,NOAA_1852,15.3,30,LineString,EPSG:4269,-75.53802590000001,35.22574779999999,-75.45945270000001,35.637840100000005,1852.0,1852.0,shoreline,,1852.0
DSAS_cpHat/Shoreline_Copies/NOAA_1860.shp,NOAA_1860,13.8,6,LineString,EPSG:4269,-75.95957000000001,35.10231,-75.518,35.239999999999995,1860.0,1860.0,shoreline,,1860.0
DSAS_cpHat/Shoreline_Copies/NOAA_1872.shp,NOAA_1872,14.1,12,LineString,EPSG:4269,-75.82921999999999,35.15933,-75.50643,35.311099999999996,1872.0,1872.0,shoreline,,1872.0
DSAS_cpHat/Shoreline_Copies/NOAA_1917.shp,NOAA_1917,30.3,30,LineString,EPSG:4269,-76.0002,35.0774,-75.45906,35.66306,1917.0,1917.0,shoreline,,1917.0
DSAS_cpHat/Shoreline_Copies/NOAA_1921.shp,NOAA_1921,9.7,2,LineString,EPSG:4269,-75.53696,35.220169999999996,-75.51481999999999,35.27160000000001,1921.0,1921.0,shoreline,,1921.0
DSAS_cpHat/Shoreline_Copies/NOAA_1946.shp,NOAA_1946,92.7,31,LineString,EPSG:4269,-76.0162631,35.068396899999996,-75.4595845,35.750189899999995,1946.0,1946.0,shoreline,,1946.0
DSAS_cpHat/Shoreline_Copies/NOAA_1965.shp,NOAA_1965,3.1,2,LineString,EPSG:4269,-75.6245975,35.2281572,-75.52049629999999,35.25,1965.0,1965.0,shoreline,,1965.0
DSAS_cpHat/Shoreline_Copies/NOAA_1974.shp,NOAA_1974,18.5,8,LineString,EPSG:4269,-76.01459890000001,35.0637581,-75.5034498,35.333514199999996,1974.0,1974.0,shoreline,,1974.0
DSAS_cpHat/Shoreline_Copies/Shoreline_Oceanfront_1998.shp,Shoreline_Oceanfront_1998,75.9,2,MultiLineString,"PROJCS[""NAD83 / North Carolina (ftUS)"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",33.75],PARAMETER[""central_meridian"",-79],PARAMETER[""standard_parallel_1"",34.3333333333333],PARAMETER[""standard_parallel_2"",36.1666666666667],PARAMETER[""false_easting"",2000000.00261667],PARAMETER[""false_northing"",0],UNIT[""US survey foot"",0.304800609601219,AUTHORITY[""EPSG"",""9003""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2893206.5496449936,492504.4561350278,3052352.003366368,754547.2950001387,1998.0,1998.0,shoreline,,1998.0
DSAS_cpHat/Shoreline_Copies/Shoreline_Oceanfront_2004.shp,Shoreline_Oceanfront_2004,263.2,43,LineString,"PROJCS[""NAD83 / North Carolina (ftUS)"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",33.75],PARAMETER[""central_meridian"",-79],PARAMETER[""standard_parallel_1"",34.3333333333333],PARAMETER[""standard_parallel_2"",36.1666666666667],PARAMETER[""false_easting"",2000000.00261667],PARAMETER[""false_northing"",0],UNIT[""US survey foot"",0.304800609601219,AUTHORITY[""EPSG"",""9003""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2894675.218393261,492460.32855478366,3052322.4467045246,1039175.3147931361,2004.0,2004.0,shoreline,,2004.0
DSAS_cpHat/Shoreline_Copies/baseline1.shp,baseline1,0.6,1,LineString,"PROJCS[""NAD83 / North Carolina (ftUS)"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",33.75],PARAMETER[""central_meridian"",-79],PARAMETER[""standard_parallel_1"",34.3333333333333],PARAMETER[""standard_parallel_2"",36.1666666666667],PARAMETER[""false_easting"",2000000.00261667],PARAMETER[""false_northing"",0],UNIT[""US survey foot"",0.304800609601219,AUTHORITY[""EPSG"",""9003""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2897055.7217999995,488347.3044000007,3056000.1204999983,689945.4483999982,,,baseline,,
DSAS_cpHat/Shoreline_Copies/nc1925_1946.shp,nc1925_1946,59.6,17,LineString,EPSG:4269,-76.01625275852962,35.068387840827505,-75.45958207615223,35.780012490748206,1925.0,1946.0,shoreline,,1946.0
DSAS_cpHat/Shoreline_Copies/nc1970_1988.shp,nc1970_1988,42.2,111,LineString,EPSG:4269,-76.0173606705277,35.069216328260275,-75.45997709385048,35.60054860977958,1970.0,1988.0,shoreline,,1988.0
DSAS_cpHat/Shoreline_Copies/nc1997.shp,nc1997,446.3,5178,LineString,EPSG:4269,-76.01262622039046,35.06769075893317,-75.46032381954971,35.773708224084125,1997.0,1997.0,shoreline,,1997.0
DSAS_cpHat/Shoreline_Copies/ncshrln.shp,ncshrln,50.0,170,LineString,EPSG:4269,-76.10196685791016,35.073822021484375,-75.4598617553711,35.773414611816406,,,shoreline_composite,,
DSAS_cpHat/Shoreline_Copies/ncshrln_Project.shp,ncshrln_Project,49.2,161,LineString,EPSG:32119,871584.5240441975,150982.93776157126,930377.2193701544,229634.158002289,,,shoreline_composite,,
DSAS_cpHat/cpHat_3/TRANS_Standard_new.shp,TRANS_Standard_new,69.1,803,LineString,EPSG:32119,884300.3743267134,152341.4492855072,931469.7998294905,210248.57577705383,,,transect,,
